	G001603925	G000397885	G001799925	G000020145	G900142455	G001799775	G001799975	G001462235	G001799795	G900143015	G001303705	G001875255	G001918595	G001799915	G001802045	G001577125	G001800205	G001302835	G001799745	G001784175	G900129735	G001603905	G001780165	G000010305	G000980745	G001304255	G001873075	G001800495	G002011675	G001800455	G001303225	G000146065	G001800425	G001462255	G001799565	G001800525	G001871115	G900142465	G000146505	G001577185	G001412425	G000474745	G002010615	G001800355	G001462305	G001603875	G001780795	G001789275	G001462245	G000404745	G001871125	G001304335	G001800635	G001045525	G900142545	G001799575	G001919145	G001462225	G001027545	G002010635	G001800015	G001800565	G001800475	G001780825	G001780805	G001508575	G001577135	G002011635	G001462345	G001800315	G900142505	G000980735	G000024665	G000980765	G001920195	G900142485	G000402415	G001777945	G001800095	G002010655	G000695095	G001304185	G001800235	G001800245	G001462315	G000522985	G000494005	G002011615	G001800325	G001303785	G001800375
G001603925	0.0	239.3167	248.28287	266.41006	58.102383	258.42737	249.61192	104.42764	265.67	23.636253	220.40445	263.06894	249.32741	263.99146	246.82475	244.96587	238.83574	222.97052	258.59387	251.64911	18.115606	11.133538	227.4132	243.4882	274.34552	260.0374	72.58095	248.66418	255.91121	239.00624	241.66313	250.01422	240.37685	200.89781	257.4075	239.65132	266.5716	29.168839	23.54657	241.8861	239.9096	214.6148	250.32408	243.7074	10.566987	65.38912	234.65468	195.71072	108.12717	244.58792	243.14565	235.73521	233.80971	190.47504	7.011424	261.19934	248.88383	110.22645	254.87988	248.87325	244.34454	233.12625	238.52182	225.42538	226.3583	253.29997	250.20619	268.36636	65.38912	237.60599	28.397835	268.52756	23.714767	276.806	238.34427	22.987143	247.05244	228.83733	247.61824	250.50053	246.52608	223.19843	238.7337	268.44687	0.0	238.11496	247.02457	245.61162	243.85803	233.22775	263.71103
G000397885	239.3167	0.0	223.08392	247.6656	236.89119	225.74399	212.6378	223.26987	235.23384	226.87373	184.2699	231.57831	211.42302	237.04398	210.12488	128.55412	204.6065	196.35518	230.02655	230.74466	235.56267	234.25401	201.4427	214.90836	236.34204	216.56238	224.58865	206.12994	214.91806	217.93095	209.99237	135.45955	202.77312	211.7455	235.46796	207.47006	238.34184	232.87328	227.7344	127.32591	125.100586	215.53625	225.23088	213.34172	232.91925	224.51968	201.33376	202.70741	214.7896	14.599779	210.80429	194.2011	205.2198	204.18336	242.14857	226.52159	207.80702	231.23973	220.46321	218.71288	222.59135	196.22714	209.08757	194.20555	190.83853	222.0784	85.54715	239.45317	224.51968	207.40627	234.09401	233.10454	228.20532	242.0378	202.01767	226.73091	133.1694	189.91478	218.71674	208.52715	219.31049	187.74667	210.83739	222.59744	239.3167	203.18651	133.18402	223.27748	204.85551	232.51433	219.74434
G001799925	248.28287	223.08392	0.0	202.51506	247.86067	188.65532	63.993042	239.06079	193.43565	255.3524	209.44489	235.55396	242.1471	194.10794	229.44528	229.07954	143.49548	209.6521	190.70386	218.61116	250.2667	254.13774	216.82468	240.66881	258.94193	245.36682	249.98003	155.81552	247.38533	142.77467	225.30835	230.92159	141.99435	232.60272	194.36296	139.04817	192.1293	250.13795	248.65123	229.9815	230.3961	243.22507	243.4922	140.15405	253.70538	241.91422	217.65622	227.41077	248.54446	232.86034	147.45691	217.75238	140.4268	224.3096	261.6712	187.39674	234.57945	247.29893	156.87627	237.78537	181.01224	141.06956	141.7774	214.37566	216.25246	235.46748	233.32631	251.93481	241.91422	141.79672	249.3934	247.84904	248.99666	262.6515	224.85951	255.44043	236.00217	215.98978	4.509435	236.37447	238.78433	208.42502	142.70708	193.2078	248.28287	228.65706	236.01945	234.42137	153.16695	227.86131	188.94678
G000020145	266.41006	247.6656	202.51506	0.0	268.35617	131.5424	197.08936	266.36145	143.13307	269.83203	221.29358	254.2936	255.31912	137.23788	233.47113	248.29613	181.85545	228.67473	134.77249	245.80206	264.24417	270.78485	241.15701	253.07838	267.13916	259.59912	269.30557	198.89891	265.65695	189.9246	247.71634	242.14484	180.43715	247.27644	136.10631	183.71068	141.40266	269.85623	270.73663	250.06308	244.85217	264.0602	262.204	187.81879	269.7685	249.99457	233.49095	230.98178	259.15106	244.6166	200.86804	231.69835	183.34776	244.05898	265.8046	131.7066	243.01855	273.77478	185.6189	247.83887	154.99527	181.00577	186.55022	238.65323	233.39423	249.50896	239.96066	258.67203	249.99457	186.13412	267.96362	267.85266	270.90173	274.88742	243.63231	268.54385	261.6	227.48105	197.69482	256.7617	259.73956	224.70273	187.92548	137.10097	266.41006	241.53954	261.60803	250.61082	189.7034	253.14894	133.82336
G900142455	58.102383	236.89119	247.86067	268.35617	0.0	241.3249	224.48802	98.2942	266.73126	57.252747	214.83066	253.61705	241.16762	259.6717	232.38333	248.17415	233.82426	216.48044	255.25333	245.6016	57.110104	58.197212	221.03984	247.134	264.41843	255.17918	66.23379	242.86943	257.91562	232.92401	236.91922	235.38747	234.92444	191.4421	254.98276	230.67554	258.88068	53.971172	57.148293	240.6103	230.22955	207.2898	251.64714	234.32329	57.832848	58.87689	226.27243	184.81485	98.40441	235.34009	236.10837	228.80345	228.53957	197.63712	58.617126	245.08096	233.09798	102.56434	239.54417	241.9353	251.45538	230.03076	233.2092	217.63908	223.0557	240.68413	240.6156	255.7005	58.87689	232.27023	54.41052	261.03107	57.25567	268.55557	220.26933	57.12671	236.08138	216.43452	244.72707	251.71162	245.84138	216.08957	234.0037	256.26044	58.102383	229.40385	236.07982	239.40881	244.26045	236.90404	251.55888
G001799775	258.42737	225.74399	188.65532	131.5424	241.3249	0.0	179.81058	244.80788	62.51173	258.90442	211.2822	242.21738	236.60974	60.187584	231.06467	239.94798	172.31314	211.37729	62.61722	221.0589	258.21646	254.85242	222.97453	237.5134	256.81918	243.86717	244.15112	178.18723	251.59937	171.44542	231.34982	237.84637	172.53612	233.86078	61.31385	171.8886	63.397392	252.49562	257.9585	236.1776	224.02841	242.2116	246.97882	173.95914	253.5744	243.4658	218.43436	230.8206	245.98227	232.35184	178.29868	224.9432	171.25522	229.56575	256.32425	0.37858418	237.16287	252.59772	185.6947	237.04086	146.3341	170.50493	173.0157	215.83514	217.24606	240.96829	239.55841	250.96397	243.4658	172.73395	253.35562	255.7056	258.29846	262.3113	223.86472	253.97916	236.9073	221.27176	181.80136	239.70699	237.8614	206.434	173.71146	29.932339	258.42737	227.75275	236.96696	238.5829	182.01764	234.22453	30.191418
G001799975	249.61192	212.6378	63.993042	197.08936	224.48802	179.81058	0.0	238.43073	199.34906	251.54866	208.09467	234.96469	239.41917	190.23764	227.23662	230.86443	143.63177	204.04782	184.43733	224.96979	248.66254	254.17784	215.98396	229.50264	257.65445	238.59161	235.18059	144.37517	251.39804	141.47311	229.85104	230.44147	137.64275	233.42581	191.61966	141.0189	205.45284	245.59108	240.48721	229.41235	234.16907	240.90164	238.51814	142.99445	254.14069	241.88597	232.68146	227.21672	247.29538	223.13669	144.30858	206.84528	143.46603	227.85057	260.38428	178.1124	232.22015	253.39421	154.955	229.31998	167.12526	145.47318	140.80357	211.22542	211.82727	233.81842	228.4057	250.96622	241.88597	141.5361	245.28453	243.0474	240.94257	256.87674	222.8794	251.51524	233.0216	211.6054	65.24093	233.5631	225.19983	203.2139	141.51346	187.5618	249.61192	222.51048	233.08022	226.08426	148.4353	235.04758	185.11333
G001462235	104.42764	223.26987	239.06079	266.36145	98.2942	244.80788	238.43073	0.0	252.75912	103.16877	207.11844	249.66818	228.34094	251.17616	224.7241	231.86142	224.54239	210.93248	246.0789	246.51382	103.517334	107.04701	221.2147	233.03864	252.76161	247.7001	99.44404	243.87161	247.11844	227.1739	232.489	224.17343	228.68153	195.48326	243.84534	225.00192	255.95026	101.56171	102.395485	223.40125	234.6223	200.12694	245.76514	229.05519	106.112656	90.07802	218.25945	181.57384	19.964859	228.21187	230.71864	216.71329	226.55174	182.94077	103.568726	248.1531	228.7597	23.364883	233.17798	228.57074	239.14568	224.63876	225.14282	213.00253	214.66869	246.07872	227.15306	248.96336	90.07802	223.67433	99.53153	252.77644	102.47679	258.50592	221.61156	103.65163	231.28735	213.21278	235.95273	243.22864	235.0582	212.69627	225.29135	257.01797	104.42764	222.64456	231.25949	225.75313	239.34525	233.29532	251.65329
G001799795	265.67	235.23384	193.43565	143.13307	266.73126	62.51173	199.34906	252.75912	0.0	267.37073	226.57458	256.15012	254.24603	59.9538	249.76466	244.25595	184.00194	233.58359	60.00749	230.05081	259.48657	265.15543	226.87956	246.3433	265.08295	266.24377	278.2576	188.59361	260.07303	184.85422	238.64076	248.58353	177.7114	247.45392	59.446507	181.93005	36.84619	263.03528	269.4478	243.16927	250.69278	254.82874	254.28465	183.7619	264.44754	253.16493	240.5386	241.67276	252.69539	234.76253	185.16129	221.789	181.02669	244.73062	266.39786	60.499424	248.9555	261.1927	193.1525	243.98383	149.38922	177.98117	183.37367	230.26619	238.17615	251.39023	255.14415	266.12994	253.16493	183.17673	262.3285	266.15814	269.7472	270.70187	229.5622	265.55096	247.19325	220.14548	189.15326	250.31216	238.97687	218.17891	183.88892	64.39762	265.67	237.34178	247.22807	243.74861	185.4184	245.93848	65.9037
G900143015	23.636253	226.87373	255.3524	269.83203	57.252747	258.90442	251.54866	103.16877	267.37073	0.0	219.46751	259.60312	249.29663	269.47775	234.21028	248.3579	239.09166	226.52077	265.1604	257.09915	22.547205	23.554148	228.33485	245.72893	266.99692	264.5929	71.328156	245.08806	253.412	241.75404	241.66185	247.06783	239.40413	198.0136	263.43375	232.51035	264.9289	27.335396	4.8455343	244.2151	246.60574	217.62648	257.96072	236.7234	22.867037	63.472343	224.68257	189.63742	104.73946	235.51566	240.13199	231.64641	237.10565	189.49417	24.711866	262.22137	241.27325	108.276024	245.2126	249.85782	257.3544	235.80632	239.30681	222.91599	223.6015	246.39941	242.0116	268.56036	63.472343	238.37427	27.375559	262.85968	4.8745584	273.72284	230.20909	1.362014	247.33713	226.2189	253.46593	249.52905	247.48354	221.02904	239.67418	260.2476	23.636253	233.12582	247.3035	247.59018	244.77275	239.07161	256.00952
